model,input,precision (id),precision (cd),recall (id),recall (cd),f1 (id),f1 (cd),f1 (delta),map (id),map (cd),map (delta),auroc (id),auroc (cd),accuracy (id),accuracy (cd)
swin,aerial,0.5544084185067193,0.433340494814185,0.6954207069635923,0.3163459528899633,0.6132707978584576,0.3469534425885914,0.2663173552698662,0.6563605993913338,0.4298535749890157,0.2265070244023181,0.8636677876461499,0.6384424439988408,0.8369605654761905,0.8018973214285714
swin,dem,0.5956168025256584,0.4357041268913458,0.7316903109592675,0.6474523250759515,0.6442622199211667,0.5114534126119475,0.1328088073092191,0.7041034731519424,0.5413790642533592,0.1627244088985832,0.8933586380286485,0.7253076002051425,0.8577008928571429,0.8031994047619048
swin,ep101,0.5916559640878777,0.471498213946695,0.7148722465743339,0.6684022572824243,0.6419160354800344,0.5442174912798051,0.0976985442002292,0.6844277851278137,0.5651432023616934,0.1192845827661203,0.8705615159960531,0.7932520347431169,0.8495163690476191,0.8110119047619048
swin,ep11,0.6083238225694579,0.4535249560802745,0.7340053521964502,0.3882451477767515,0.6415324039112532,0.3774503179652406,0.2640820859460126,0.6964688570618666,0.4417391718688104,0.2547296851930561,0.8862686331689006,0.6810899019079291,0.8563988095238095,0.8271019345238095
swin,ep201,0.6034310436106186,0.4717703015957853,0.6985924865449272,0.6299948989272571,0.6329322319209792,0.5218838222297467,0.1110484096912325,0.6824950329089231,0.5605792371171758,0.1219157957917472,0.868290214267206,0.763043281655815,0.8548177083333334,0.8060825892857143
swin,ep21,0.6205643879737154,0.5092464737065193,0.6579268331204522,0.3768751802225428,0.6354562755113317,0.4035421576692149,0.2319141178421167,0.6809225209227291,0.47967501896226,0.2012475019604691,0.8826033626733018,0.7434200326475187,0.8656063988095238,0.8383556547619048
swin,ep51,0.6419192360298135,0.5187804564187203,0.7108424968617324,0.4645835155133339,0.6726424702268894,0.47265835890384,0.1999841113230493,0.7096589434293252,0.5140435919829958,0.1956153514463294,0.8858600747128306,0.7708722431283458,0.8668154761904762,0.8372395833333334
swin,ep5,0.5964419468476809,0.4827269826307638,0.7000604466883807,0.4490615028242472,0.6335065199870115,0.4245354635537531,0.2089710564332583,0.6803245908737667,0.4773291350871008,0.2029954557866659,0.8829172352996709,0.7026118892843642,0.857421875,0.8277529761904762
swin,nhd,0.405687159374228,0.3427215290950559,0.8118549895605095,0.7326588587023377,0.5114594226170405,0.4360910670482563,0.0753683555687841,0.4485384894887953,0.3613838874290576,0.0871546020597377,0.6166569475440989,0.562596489183819,0.6360677083333334,0.5911458333333334
swin,nir,0.5671256523550937,0.2905689349157606,0.6520889088510602,0.3346151860310623,0.5972889700022487,0.28901659987884,0.3082723701234087,0.6221358731839512,0.316114100578012,0.3060217726059392,0.8115431838171261,0.4472420011400233,0.8336123511904762,0.7180989583333334
swin,osm,0.4414495154066311,0.3685973557095167,0.8294290353884711,0.825976483369004,0.5342333383353638,0.4595592711362091,0.0746740671991547,0.4860731960433173,0.4056614159881077,0.0804117800552096,0.6767291755057687,0.6227096547559106,0.6753162202380952,0.5764508928571429
swin,plc100,0.4395800079188397,0.361051773669685,0.7468677441063047,0.6934402847892686,0.5389377922920228,0.4471525001687228,0.0917852921232999,0.4998900871986737,0.3831402244852923,0.1167498627133814,0.7112978791417328,0.6208557579330637,0.7082403273809523,0.6689918154761905
swin,plc10,0.5346214038507731,0.4341409274338054,0.7070250739122369,0.574440554189159,0.5888406825950562,0.4833747156901158,0.1054659669049403,0.6093927401372606,0.4821296847413704,0.1272630553958902,0.8186975274748179,0.7447775441895537,0.8096168154761905,0.7900855654761905
swin,plc200,0.3961467512427847,0.3307149982187506,0.7171211616835605,0.7067955639510971,0.4927212454327233,0.4162224136582347,0.0764988317744885,0.4141773175094039,0.3389243772534386,0.0752529402559653,0.5315107547399006,0.4810311403342668,0.6605282738095238,0.6029575892857143
swin,plc20,0.5381082777762455,0.4170994118130645,0.6945150395481653,0.5867046503154386,0.5974467876269033,0.4654646617292953,0.131982125897608,0.6272045559032767,0.4703577746616854,0.1568467812415913,0.8240737447235801,0.7306899474289492,0.8049665178571429,0.7448846726190477
swin,plc50,0.493959636469015,0.4120153896190609,0.6626456891282135,0.5808178849025748,0.5570956249008655,0.4402092249029061,0.1168863999979594,0.5688972105156601,0.4351878024286745,0.1337094080869856,0.7660695659291903,0.6964582972404502,0.7715773809523809,0.724609375
swin,plc5,0.5316462289421763,0.4374299881705584,0.7066252591476481,0.7309009375308462,0.5965935588658373,0.5346885797455425,0.0619049791202948,0.6238330858138198,0.5067998445646658,0.117033241249154,0.8233036680896841,0.7339045547644502,0.8087797619047619,0.7599516369047619
swin,prc100,0.5535910566548581,0.4481945722010935,0.7558592311223374,0.6780005841813039,0.6186883161502257,0.5245700372550602,0.0941182788951654,0.6194479102457455,0.5250148426246628,0.0944330676210827,0.8429863896988924,0.7360239208157774,0.8182663690476191,0.7826450892857143
swin,prc10,0.596304735095738,0.48895094829955,0.7083085893279008,0.660726929122189,0.6278760995785941,0.5563519143185637,0.0715241852600304,0.6661578244641816,0.5786638527557643,0.0874939717084173,0.8673297345418002,0.7699812667832007,0.8525855654761905,0.8303571428571429
